graph,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","0.573","17","1.3411e-7","pagerankInt32"
"min-1DeadEnd","5","6","0.574","17","1.3411e-7","pagerankInt64"
"min-2SCC","8","12","1.399","40","9.127e-7","pagerankInt32"
"min-2SCC","8","12","1.359","40","9.127e-7","pagerankInt64"
"min-4SCC","21","35","1.567","45","6.1188e-7","pagerankInt32"
"min-4SCC","21","35","1.64","45","6.1188e-7","pagerankInt64"
"min-NvgraphEx","6","10","0.88","24","2.9802e-8","pagerankInt32"
"min-NvgraphEx","6","10","0.96","24","2.9802e-8","pagerankInt64"
"web-Stanford","281903","2312497","11.29","63","7.0093e-7","pagerankInt32"
"web-Stanford","281903","2312497","12.017","63","7.0093e-7","pagerankInt64"
"web-BerkStan","685230","7600595","22.243","64","9.5839e-7","pagerankInt32"
"web-BerkStan","685230","7600595","24.595","64","9.5839e-7","pagerankInt64"
"web-Google","916428","5105039","13.167","62","0.0000014147","pagerankInt32"
"web-Google","916428","5105039","14.964","62","0.0000014147","pagerankInt64"
"web-NotreDame","325729","1497134","6.129","58","0.0000030029","pagerankInt32"
"web-NotreDame","325729","1497134","6.983","58","0.0000030029","pagerankInt64"
"soc-Slashdot0811","77360","905468","3.402","55","9.0883e-7","pagerankInt32"
"soc-Slashdot0811","77360","905468","4.027","55","9.0883e-7","pagerankInt64"
"soc-Slashdot0902","82168","948464","3.545","56","8.5459e-7","pagerankInt32"
"soc-Slashdot0902","82168","948464","4.173","56","8.5459e-7","pagerankInt64"
"soc-Epinions1","75888","508837","3.177","54","0.0000013269","pagerankInt32"
"soc-Epinions1","75888","508837","3.47","54","0.0000013269","pagerankInt64"
"coAuthorsDBLP","299067","1955352","3.577","45","0.0000029323","pagerankInt32"
"coAuthorsDBLP","299067","1955352","4.234","45","0.0000029323","pagerankInt64"
"coAuthorsCiteseer","227320","1628268","3.718","48","0.0000021887","pagerankInt32"
"coAuthorsCiteseer","227320","1628268","4.183","48","0.0000021887","pagerankInt64"
"soc-LiveJournal1","4847571","68993773","157.232","51","0.0000031616","pagerankInt32"
"soc-LiveJournal1","4847571","68993773","205.449","51","0.0000031616","pagerankInt64"
"coPapersCiteseer","434102","32073440","36.048","51","0.0000018962","pagerankInt32"
"coPapersCiteseer","434102","32073440","42.147","51","0.0000018962","pagerankInt64"
"coPapersDBLP","540486","30491458","37.69","49","0.0000014561","pagerankInt32"
"coPapersDBLP","540486","30491458","45.63","49","0.0000014561","pagerankInt64"
"indochina-2004","7414866","194109311","122.913","60","0.0000018513","pagerankInt32"
"indochina-2004","7414866","194109311","165.667","60","0.0000018513","pagerankInt64"
"italy_osm","6686493","14027956","29.964","63","6.4568e-7","pagerankInt32"
"italy_osm","6686493","14027956","35.835","63","6.4568e-7","pagerankInt64"
"great-britain_osm","7733822","16313034","39.335","67","1.6188e-7","pagerankInt32"
"great-britain_osm","7733822","16313034","46.472","67","1.6188e-7","pagerankInt64"
"germany_osm","11548845","24738362","61.771","65","2.0173e-7","pagerankInt32"
"germany_osm","11548845","24738362","71.717","65","2.0173e-7","pagerankInt64"
"asia_osm","11950757","25423206","51.258","63","6.7846e-7","pagerankInt32"
"asia_osm","11950757","25423206","62.165","63","6.7846e-7","pagerankInt64"
